group,names,scores,logfoldchanges,pvals,pvals_adj
B cells,CCL5,50.89468,,1.4172021047478702e-175,2.604817468526585e-172
B cells,NKG7,37.55226,,1.1621384563921247e-126,1.0680052414243626e-123
B cells,IL32,26.693785,,3.2092668119344856e-95,1.4746581000838961e-92
B cells,CST7,25.720097,,5.1972871762044906e-79,1.592102304977309e-76
B cells,GZMA,24.181168,,1.2934737331402409e-73,2.9717559018897032e-71
B cells,CTSW,21.453638,,2.184684378800857e-64,3.346208240196646e-62
B cells,PTPRCAP,17.42809,,6.558924241955356e-51,7.091354562772909e-49
B cells,GZMK,17.031462,,2.6974414604018734e-45,2.2535897291902925e-43
B cells,LYAR,14.191784,,2.8988644386802e-35,1.9028974422479314e-33
B cells,KLRG1,12.842513,,3.580668843956388e-30,1.8281303708866225e-28
B cells,GZMH,12.077296,,2.2239312017238266e-27,1.0218963871920983e-25
B cells,PRF1,10.936848,,9.086941098951485e-24,3.479541195806839e-22
B cells,HOPX,8.72827,,1.762805701084983e-16,5.142915680308252e-15
B cells,SAMD3,8.480697,,1.0923209158639587e-15,2.996546034862621e-14
B cells,CCL4,8.154158,,9.7523093667076e-15,2.422262785947104e-13
B cells,APOBEC3G,7.9355865,,4.085057874077875e-14,9.385420465693917e-13
B cells,TIGIT,7.6992106,,2.1842256089340205e-13,4.723066669671447e-12
B cells,CD2,7.5266347,,5.387729967528058e-13,1.1514706605019268e-11
B cells,NCR3,7.4999228,,7.834277569806518e-13,1.599933574811598e-11
B cells,FGFBP2,7.1491175,,6.607425290574285e-12,1.3058545896855417e-10
B cells,GIMAP7,6.665847,,1.047073280001154e-10,1.8684666880020596e-09
B cells,CD247,6.3440576,,7.507252679949126e-10,1.3017292854477825e-08
B cells,FCRL6,5.795973,,1.803341840291281e-08,2.882210697787282e-07
B cells,GZMB,5.655327,,3.466094864549314e-08,5.308901967534699e-07
B cells,S1PR5,5.640837,,4.01573729833495e-08,6.000752157999706e-07
B cells,ID2,5.5875287,,4.8594622915278846e-08,7.202977170829236e-07
B cells,ZAP70,5.5166183,,7.384336723019396e-08,1.0521248757294302e-06
B cells,LITAF,5.385294,,1.4119521732659095e-07,1.9366926078080165e-06
B cells,KLRB1,5.3743587,,1.575193124266213e-07,2.1288271782362497e-06
B cells,ARPC5L,5.2199554,,3.277049920669311e-07,4.333250182870643e-06
B cells,SRGN,5.1922193,,3.469100719314264e-07,4.554433658642584e-06
B cells,CD160,5.125497,,5.47389823512707e-07,6.9868228862246916e-06
B cells,C9orf142,5.069246,,6.88573216832066e-07,8.728259120947154e-06
B cells,PRR5,5.035211,,8.396762084684258e-07,1.0570718295650456e-05
B cells,GYG1,4.71493,,3.6809562416849e-06,4.3369215206518246e-05
B cells,JAKMIP1,4.6213574,,5.840283434639768e-06,6.545390824919448e-05
B cells,HSP90AA1,4.5297055,,8.218465743424038e-06,9.04234772762404e-05
B cells,GNLY,4.487928,,1.002738418299841e-05,0.00010841371840206517
B cells,MFSD10,4.372631,,1.685237265739973e-05,0.00017904428291503298
B cells,PTGDR,4.364611,,1.7612690341233502e-05,0.00018393252754083625
B cells,GIMAP4,4.358572,,1.7430450493126395e-05,0.00018306953146495037
B cells,STK17A,4.304027,,2.218150218986563e-05,0.00022776313421772642
B cells,RORA,4.228229,,3.1207560764075286e-05,0.0003151620696943427
B cells,CDC42EP3,3.9205453,,0.00010940187470925157,0.0010155588167454768
B cells,PLEKHF1,3.8890023,,0.00012409764185655143,0.0011291656719422847
B cells,CPNE2,3.749149,,0.00021471900066770812,0.0018615732227700355
B cells,GPR56,3.73782,,0.00022294470409204377,0.0019238139254515326
B cells,XCL2,3.7265348,,0.00023104204134832227,0.001980358362659312
B cells,DGKZ,3.7109988,,0.0002450955160550639,0.002066447516097282
B cells,PDIA3,3.6905587,,0.00026253191615046906,0.0021834102347717743
B cells,GPR171,3.6764002,,0.0002804439221092935,0.0022807784461808915
B cells,RAB9A,3.6199775,,0.00034539958972685923,0.002713010452640886
B cells,CD320,3.6133785,,0.000354199841857026,0.0027585563954797194
B cells,GIMAP5,3.598619,,0.00037070629840348356,0.002874929014622797
B cells,TMBIM6,3.5588257,,0.0004264806366951965,0.0032525784657500877
B cells,TERF2IP,3.529766,,0.00047612184789632935,0.00361060315301552
B cells,CDC37,3.4915702,,0.0005484860708929902,0.004032469593205264
B cells,BTN3A2,3.4799938,,0.0005711458495681011,0.004149273009905809
B cells,TMEM50A,3.303882,,0.0010623862900022167,0.007313355809078929
B cells,ARL6IP5,3.3027773,,0.0010615444247091576,0.007313355809078929
B cells,C9orf16,3.3014514,,0.0010682978299945496,0.007326609744514859
B cells,TOR1A,3.2964735,,0.0010937284214623225,0.007473133229173787
B cells,PRSS23,3.2355406,,0.0013492990600951218,0.009117689972260418
B cells,BUB3,3.2145383,,0.0014395816726761796,0.009692128624098234
B cells,DENND2D,3.2090564,,0.001467828738680183,0.009846238035380206
B cells,CAPN12,3.184267,,0.00160338802724127,0.010562821484119909
B cells,ORAI1,3.1810374,,0.001616270523606673,0.010595375088799097
B cells,PSME1,3.1697595,,0.0016632538165255138,0.010802333974466059
B cells,TMCO1,3.1369672,,0.0018690790436758273,0.012011773714252346
B cells,UBB,3.0821242,,0.0022260396232211,0.01401185214890542
B cells,RNF125,3.0594409,,0.0024133439422712776,0.01508750396562792
B cells,GADD45B,3.0311615,,0.002633186913574729,0.016406093380170683
B cells,RCHY1,2.998045,,0.002944448190786383,0.01774392057267335
B cells,MMADHC,2.9738715,,0.0031646356293874443,0.01888506586627962
B cells,SNRPB,2.946335,,0.003447023545835192,0.020371798319116022
B cells,TTC38,2.9119158,,0.003857432593877146,0.02262882694744204
B cells,STOML2,2.91089,,0.0038658605340026117,0.02262882694744204
B cells,PCSK7,2.8985364,,0.004008423923697239,0.023388835465890555
B cells,ACAP1,2.8959205,,0.004038352010061443,0.023488895552192825
B cells,ITGB7,2.8209338,,0.005090812720606483,0.028014711917588968
B cells,HENMT1,2.8036728,,0.00538212422580815,0.02952938605085188
B cells,HSPB11,2.7527692,,0.006259945607266059,0.034040769308150934
B cells,COMMD8,2.7465682,,0.006365657481813021,0.03451350575685054
B cells,XCL1,2.6629596,,0.008157147490982876,0.04229842598862394
B cells,DIDO1,2.6608057,,0.008215289949672588,0.04241489586375904
B cells,VPS13A,2.5127554,,0.012497882866225881,0.0607701288574687
B cells,FAM173A,2.4738877,,0.013886373872845349,0.0663921836185708
B cells,GNPTAB,2.463551,,0.014304300714338431,0.0663921836185708
B cells,STX18,2.4549675,,0.014662545939187522,0.06771296340760469
B cells,BTN3A1,2.453105,,0.014722982588979869,0.06782165914422306
B cells,PDCD1,2.444525,,0.015106010572750735,0.06941211858178963
B cells,HDAC1,2.439403,,0.015253010993512627,0.06956584170242236
B cells,C5orf56,2.4320621,,0.015565481100311328,0.07081523332270351
B cells,GTF3A,2.4266064,,0.01576642326089634,0.07137607377716126
B cells,USP19,2.4196339,,0.016145478835925268,0.07273379926576137
B cells,PRNP,2.406457,,0.016680354096685893,0.07423363397023891
B cells,NDUFAF4,2.4003992,,0.016979799877748235,0.07507318881163424
B cells,CDKN2A,2.3999858,,0.017032382880550315,0.07507318881163424
B cells,ECSIT,2.3981516,,0.017081981667414942,0.07511168015480542
B cells,CYBA,2.3895063,,0.017353357815352115,0.07594159920146949
B cells,DERL1,2.3872404,,0.01756954460516831,0.07652327721397952
B cells,MORF4L2,2.3856318,,0.017642016861869093,0.07665727421303876
B cells,MLLT6,2.3695903,,0.018423026465252432,0.07967417092502112
B cells,GPKOW,2.3675673,,0.018542319890040248,0.08000184027674642
B cells,YWHAB,2.3555677,,0.01906863452509613,0.08169731994668226
B cells,TMEM242,2.3461566,,0.01958782201599581,0.08353228971090557
B cells,ALKBH4,2.3452513,,0.01966217884275189,0.0836436914933313
B cells,HNRNPM,2.3381166,,0.019983924148100483,0.08443782203266365
B cells,DCAF5,2.3324244,,0.02031518847599117,0.08544465999741824
B cells,DNAJB14,2.2987747,,0.02220345458197917,0.0925395680763667
B cells,GOLGA1,2.296162,,0.022381220569564948,0.09306941947253479
B cells,STMN1,2.2826211,,0.023120508881880764,0.09571057505607397
B cells,MOB2,2.2710736,,0.02381405147184248,0.09836005978707074
B cells,TRAF3IP3,2.268179,,0.023947298476563506,0.09868864260072584
B cells,WTAP,2.2636912,,0.024255978824150013,0.0992928487278123
B cells,IDH2,2.262349,,0.02433733971466349,0.09940451199011444
B cells,ALG5,2.2442684,,0.025514142348382115,0.10216774212707261
B cells,PSMB8,2.2360342,,0.025994856075411122,0.10341676507923298
B cells,VDAC3,2.2214887,,0.027003409669440426,0.10650701067045387
B cells,RCN2,2.2013917,,0.02841101007625955,0.11157999256445525
B cells,DUS3L,2.1902354,,0.029251982109576937,0.11463783180682817
B cells,SPON2,2.188583,,0.02933697367830466,0.114726292810051
B cells,RGS14,2.183424,,0.029738417001569314,0.11580341196797542
B cells,CLEC2B,2.1780744,,0.030155347800158754,0.11686006602252855
B cells,ITSN2,2.1773832,,0.03020050672508219,0.11686006602252855
B cells,CLIC3,2.1641328,,0.031184166970606678,0.12016037503558716
B cells,SLBP,2.1392627,,0.03317999396928522,0.12705172690738797
